disthash,kutchas,puccas,university,unemployed,malaria,malaria_now,under_net,population,current_total,saturated,cost_per_completion,cost_per_message,CTR,CPM
4d59f3e6,0.22842639593908629,0.4619289340101523,0.6294416243654822,0.49746192893401014,0.2436548223350254,0.02030456852791878,0.4365482233502538,1656616.0,197.0,False,90.9090909090909,22.727272727273,1.79084531,66.82258603
5159be68,0.24242424242424243,0.4318181818181818,0.6363636363636364,0.45454545454545453,0.12878787878787878,0.015151515151515152,0.6060606060606061,1796184.0,132.0,False,90.9090909090909,26.315789473684,1.67236239,72.71140842
54c26aa6,0.22267206477732793,0.47368421052631576,0.5910931174089069,0.4777327935222672,0.0931174089068826,0.012145748987854251,0.5546558704453441,3433919.0,247.0,False,66.66666666666667,13.157894736842,2.04408561,64.07791875
59a2fd2c,0.22633744855967078,0.522633744855967,0.6378600823045267,0.551440329218107,0.27983539094650206,0.024691358024691357,0.49382716049382713,1885204.0,243.0,False,100.0,23.809523809524,1.72652804,63.01197227
59b04133,0.22406639004149378,0.6058091286307054,0.6141078838174274,0.4107883817427386,0.14937759336099585,0.004149377593360996,0.4854771784232365,1648115.0,241.0,False,43.47826086956522,16.393442622951,1.93050193,87.75008775
5abbecc7,0.3466135458167331,0.3944223107569721,0.649402390438247,0.46215139442231074,0.2350597609561753,0.0199203187250996,0.4342629482071713,1799410.0,251.0,True,62.5,22.222222222222,1.7221112,58.77512637
5b1466b5,0.22950819672131148,0.5286885245901639,0.6188524590163934,0.4344262295081967,0.14754098360655737,0.012295081967213115,0.3524590163934426,1998603.0,244.0,False,58.8235294117647,18.518518518519,1.66145215,53.9432517
5b788486,0.1368421052631579,0.6157894736842106,0.6473684210526316,0.48947368421052634,0.3157894736842105,0.042105263157894736,0.4263157894736842,1774480.0,190.0,False,52.63157894736842,25.0,1.66632798,67.73690984
5c4dcb04,0.23790322580645162,0.45564516129032256,0.6330645161290323,0.5040322580645161,0.08870967741935484,0.016129032258064516,0.5040322580645161,4483992.0,248.0,False,50.0,14.925373134328,1.95530726,66.50704975
5c8b8562,0.20408163265306123,0.5346938775510204,0.689795918367347,0.46530612244897956,0.22040816326530613,0.02040816326530612,0.5020408163265306,1581810.0,245.0,False,62.5,20.0,1.51628711,57.65350245
5f041769,0.1724137931034483,0.5763546798029556,0.6157635467980296,0.4187192118226601,0.11822660098522167,0.014778325123152709,0.7192118226600985,2464464.0,203.0,False,55.55555555555556,24.390243902439,1.65280027,55.83784689
6df6b429,0.24096385542168675,0.5140562248995983,0.5421686746987951,0.4457831325301205,0.0963855421686747,0.01606425702811245,0.5582329317269076,3682713.0,249.0,False,43.47826086956522,9.5238095238095,1.88409934,57.0939195
7001d249,0.19254658385093168,0.515527950310559,0.5590062111801242,0.40372670807453415,0.18012422360248448,0.006211180124223602,0.546583850931677,1206640.0,161.0,False,125.0,37.037037037037,1.4075577,63.40349987
72d1d8e0,0.24497991967871485,0.5140562248995983,0.6184738955823293,0.357429718875502,0.17670682730923695,0.020080321285140562,0.5622489959839357,2062330.0,249.0,False,31.25,10.0,2.03108705,49.65983016
7454d961,0.28169014084507044,0.4859154929577465,0.6056338028169014,0.4859154929577465,0.1619718309859155,0.007042253521126761,0.4084507042253521,1537133.0,142.0,False,333.3333333333333,43.478260869565,1.29623568,65.46644845
749c3a9c,0.19433198380566802,0.5425101214574899,0.659919028340081,0.4251012145748988,0.2874493927125506,0.032388663967611336,0.6032388663967612,4494204.0,247.0,False,58.8235294117647,16.666666666667,2.17119743,59.4848611
786f66b7,0.21115537848605578,0.5816733067729084,0.6294820717131474,0.44223107569721115,0.17131474103585656,0.00796812749003984,0.44621513944223107,4581268.0,251.0,True,17.857142857142858,6.8493150684932,2.2762028,58.81660981
